date,iso_week,activity_count,duration_min,tss,ctl,atl,tsb,ftp_used,ftp_policy,tss_source,source_notes
2026-05-19,2026-W21,1,60.2,42,1,6,-5,200,historical_ftp_locked,recorded:note-inferred-if,training/2026/week-21/notes/2026-05-19-fit-analysis.md
2026-05-20,2026-W21,0,0,0,1,5.1,-4.2,,historical_ftp_locked,,
2026-05-21,2026-W21,1,56.3,51.4,2.2,11.7,-9.6,200,historical_ftp_locked,calculated:note-inferred-np-percent,training/2026/week-21/notes/2026-05-21 室内骑行训练分析.md
2026-05-22,2026-W21,0,0,0,2.1,10.1,-7.9,,historical_ftp_locked,,
2026-05-23,2026-W21,1,113.9,53.3,3.3,16.2,-12.9,200,historical_ftp_locked,calculated:note-inferred-np-percent,training/2026/week-21/notes/2026-05-23 户外骑行训练分析.md
2026-05-24,2026-W21,0,0,0,3.3,13.9,-10.7,,historical_ftp_locked,,
2026-05-25,2026-W22,0,0,0,3.2,11.9,-8.8,,historical_ftp_locked,,
2026-05-26,2026-W22,1,70.4,45.1,4.2,16.7,-12.5,200,historical_ftp_locked,calculated:note-inferred-np-percent,training/2026/week-22/notes/2026-05-26 室内骑行训练分析.md
2026-05-27,2026-W22,0,0,0,4.1,14.3,-10.2,,historical_ftp_locked,,
2026-05-28,2026-W22,1,41.5,26.2,4.6,16,-11.4,200,historical_ftp_locked,calculated:note-inferred-np-percent,training/2026/week-22/notes/2026-05-28 室内骑行训练分析.md
2026-05-29,2026-W22,0,0,0,4.5,13.7,-9.2,,historical_ftp_locked,,
2026-05-30,2026-W22,0,0,0,4.4,11.7,-7.4,,historical_ftp_locked,,
2026-05-31,2026-W22,2,129.7,57.6,5.7,18.3,-12.6,200,historical_ftp_locked,calculated:note-inferred-np-percent,training/2026/week-22/notes/2026-05-31 上午户外骑行训练分析.md;training/2026/week-22/notes/2026-05-31 下午户外骑行训练分析.md
2026-06-01,2026-W23,0,0,0,5.5,15.7,-10.2,,historical_ftp_locked,,
2026-06-02,2026-W23,1,60.2,37.3,6.3,18.8,-12.5,200,historical_ftp_locked,calculated:note-inferred-np-percent,training/2026/week-23/notes/2026-06-02 室内骑行训练分析.md
2026-06-03,2026-W23,0,0,0,6.1,16.1,-10,,historical_ftp_locked,,
2026-06-04,2026-W23,1,60.1,43,7,19.9,-12.9,200,historical_ftp_locked,calculated:note-explicit,training/2026/week-23/notes/2026-06-04 室内骑行训练分析.md
2026-06-05,2026-W23,0,0,0,6.8,17.1,-10.2,,historical_ftp_locked,,
2026-06-06,2026-W23,0,0,0,6.7,14.6,-8,,historical_ftp_locked,,
2026-06-07,2026-W23,1,78.3,42.4,7.5,18.6,-11.1,200,historical_ftp_locked,calculated:note-inferred-np-percent,training/2026/week-23/notes/2026-06-07 室内骑行训练分析.md
2026-06-08,2026-W24,0,0,0,7.4,16,-8.6,,historical_ftp_locked,,
2026-06-09,2026-W24,1,55.6,24.6,7.8,17.2,-9.4,200,historical_ftp_locked,calculated:note-inferred-np-percent,training/2026/week-24/notes/2026-06-09 室内骑行训练分析.md
2026-06-10,2026-W24,1,55.7,34,8.4,19.6,-11.2,200,historical_ftp_locked,recorded:note-inferred-np-percent,training/2026/week-24/notes/2026-06-10 提前完成小剂量节奏重启训练分析.md
2026-06-11,2026-W24,0,0,0,8.2,16.8,-8.6,,historical_ftp_locked,,
2026-06-12,2026-W24,0,0,0,8,14.4,-6.4,,historical_ftp_locked,,
2026-06-13,2026-W24,1,128.1,73,9.5,22.8,-13.2,200,historical_ftp_locked,recorded:note-inferred-if,training/2026/week-24/notes/2026-06-13 户外 Z2 重建骑训练分析.md
2026-06-14,2026-W24,0,0,0,9.3,19.5,-10.2,,historical_ftp_locked,,
2026-06-15,2026-W25,0,0,0,9.1,16.7,-7.6,,historical_ftp_locked,,
2026-06-16,2026-W25,1,60.1,41,9.9,20.2,-10.3,200,historical_ftp_locked,recorded:note-inferred-np-percent,training/2026/week-25/notes/2026-06-16 室内骑行训练分析.md
2026-06-17,2026-W25,0,0,0,9.6,17.3,-7.7,,historical_ftp_locked,,
2026-06-18,2026-W25,1,65.2,57,10.7,23,-12.2,200,historical_ftp_locked,recorded:note-inferred-np-percent,training/2026/week-25/notes/2026-06-18 室内骑行训练分析.md
2026-06-19,2026-W25,0,0,0,10.5,19.7,-9.2,,historical_ftp_locked,,
2026-06-20,2026-W25,0,0,0,10.2,16.9,-6.6,,historical_ftp_locked,,
2026-06-21,2026-W25,2,56.6,48,11.1,21.3,-10.2,200,historical_ftp_locked,recorded:note-inferred-np-percent,training/2026/week-25/notes/2026-06-21 Zwift FTP Test 分析.md;training/2026/week-25/notes/2026-06-21 室内 Z2 简单骑分析.md
2026-06-22,2026-W26,0,0,0,10.9,18.3,-7.4,,historical_ftp_locked,,
2026-06-23,2026-W26,1,60.4,34,11.4,20.5,-9.1,200,historical_ftp_locked,recorded:note-inferred-np-percent,training/2026/week-26/notes/2026-06-23 室内骑行训练分析.md
2026-06-24,2026-W26,0,0,0,11.2,17.6,-6.4,,historical_ftp_locked,,
2026-06-25,2026-W26,1,70.5,64,12.4,24.2,-11.8,201,historical_ftp_locked,recorded:note-explicit,training/2026/week-26/notes/2026-06-25 补做 6月24日甜区进阶主课训练分析.md
2026-06-26,2026-W26,0,0,0,12.1,20.8,-8.6,,historical_ftp_locked,,
2026-06-27,2026-W26,1,136.3,80,13.7,29.2,-15.5,200,historical_ftp_locked,recorded:note-inferred-np-percent,training/2026/week-26/notes/2026-06-27 户外可控耐力骑训练分析.md
2026-06-28,2026-W26,0,0,0,13.4,25.1,-11.6,,historical_ftp_locked,,
2026-06-29,2026-W27,1,45.2,29,13.8,25.6,-11.8,200,historical_ftp_locked,recorded:note-inferred-np-percent,training/2026/week-27/notes/2026-06-29 室内骑行训练分析.md
